finding_id,source_finding_id,source_tool,finding_type,security_domain,title,normalised_severity,priority,risk_score,asset_id,technical_owner,remediation_owner,due_date,suppression_id,suppression_status,cve,cwe,file,package_name,fixed_version
FND-SUPPRESSIO-1065083a8d4b,SUP-CHECKOV-SG-MODULE-GRAPH-002,checkov,IaC,Suppression Governance,Suppressed checkov finding CKV2_AWS_5,high,P2,67.25,AST-TERRAFORM,Cloud Security,Cloud Security,2027-01-12,SUP-CHECKOV-SG-MODULE-GRAPH-002,active,,,,,
FND-SUPPRESSIO-47693ff859ed,SUP-CHECKOV-SECRETS-ROTATION-001,checkov,IaC,Suppression Governance,Suppressed checkov finding CKV2_AWS_57,high,P2,67.25,AST-TERRAFORM,Cloud Security,Cloud Security,2027-01-12,SUP-CHECKOV-SECRETS-ROTATION-001,active,,,,,
FND-SUPPRESSIO-5313851a0158,SUP-TRIVY-PERL-BASE-CRITICAL-002,trivy,Container,Suppression Governance,Suppressed trivy finding CVE-2026-8376,high,P3,56.25,AST-CONTAINER,Platform Engineering,Platform Engineering,2026-10-12,SUP-TRIVY-PERL-BASE-CRITICAL-002,active,CVE-2026-8376,,,perl-base,
FND-SUPPRESSIO-65201925e5c5,SUP-CHECKOV-ALB-PORT80-001,checkov,IaC,Suppression Governance,Suppressed checkov finding CKV_AWS_260,high,P2,67.25,AST-TERRAFORM,Cloud Security,Cloud Security,2027-01-12,SUP-CHECKOV-ALB-PORT80-001,active,,,,,
FND-SUPPRESSIO-68e51d21b290,SUP-CHECKOV-SECRETS-ROTATION-002,checkov,IaC,Suppression Governance,Suppressed checkov finding CKV2_AWS_57,high,P2,67.25,AST-TERRAFORM,Cloud Security,Cloud Security,2027-01-12,SUP-CHECKOV-SECRETS-ROTATION-002,active,,,,,
FND-SUPPRESSIO-6dce772b98c3,SUP-CHECKOV-KMS-KEYPOLICY-001,checkov,IaC,Suppression Governance,"Suppressed checkov finding CKV_AWS_109,CKV_AWS_111,CKV_AWS_356",high,P2,67.25,AST-TERRAFORM,Cloud Security,Cloud Security,2027-01-12,SUP-CHECKOV-KMS-KEYPOLICY-001,active,,,,,
FND-SUPPRESSIO-713bb8f041d7,SUP-CHECKOV-GITHUB-OIDC-MODULE-GRAPH-001,checkov,IaC,Suppression Governance,Suppressed checkov finding CKV_AWS_358,high,P2,67.25,AST-TERRAFORM,Cloud Security,Cloud Security,2027-01-12,SUP-CHECKOV-GITHUB-OIDC-MODULE-GRAPH-001,active,,,,,
FND-SUPPRESSIO-7b3ddcaa6af8,SUP-CHECKOV-ALB-HTTP-REDIRECT-001,checkov,IaC,Suppression Governance,Suppressed checkov finding CKV_AWS_2,high,P2,67.25,AST-TERRAFORM,Cloud Security,Cloud Security,2027-01-12,SUP-CHECKOV-ALB-HTTP-REDIRECT-001,active,,,,,
FND-SUPPRESSIO-836cb2a2770d,SUP-GITLEAKS-MS13-HISTORY-MARKER-001,gitleaks,Secret,Suppression Governance,Suppressed gitleaks finding jwt-signing-material-outside-fixtures,critical,P2,73.25,AST-APP-FASTAPI,Application Engineering,Application Engineering,2026-10-14,SUP-GITLEAKS-MS13-HISTORY-MARKER-001,active,,,,,
FND-SUPPRESSIO-8632c434b354,SUP-CHECKOV-AUDIT-REPLICATION-001,checkov,IaC,Suppression Governance,Suppressed checkov finding CKV_AWS_144,high,P2,67.25,AST-TERRAFORM,Cloud Security,Cloud Security,2027-01-12,SUP-CHECKOV-AUDIT-REPLICATION-001,active,,,,,
FND-SUPPRESSIO-974e196f7185,SUP-GITLEAKS-TEST-KEY-001,gitleaks,Secret,Suppression Governance,Suppressed gitleaks finding private-key,critical,P2,73.25,AST-APP-FASTAPI,Application Engineering,Application Engineering,2027-01-12,SUP-GITLEAKS-TEST-KEY-001,active,,,,,
FND-SUPPRESSIO-b5c9f1d0aae2,SUP-CHECKOV-KMS-KEYPOLICY-002,checkov,IaC,Suppression Governance,"Suppressed checkov finding CKV_AWS_111,CKV_AWS_356",high,P2,67.25,AST-TERRAFORM,Cloud Security,Cloud Security,2027-01-12,SUP-CHECKOV-KMS-KEYPOLICY-002,active,,,,,
FND-SUPPRESSIO-d403fca790bf,SUP-CHECKOV-KMS-KEYPOLICY-003,checkov,IaC,Suppression Governance,"Suppressed checkov finding CKV_AWS_111,CKV_AWS_356",high,P2,67.25,AST-TERRAFORM,Cloud Security,Cloud Security,2027-01-12,SUP-CHECKOV-KMS-KEYPOLICY-003,active,,,,,
FND-SUPPRESSIO-e0d3613118cd,SUP-CHECKOV-SG-MODULE-GRAPH-001,checkov,IaC,Suppression Governance,Suppressed checkov finding CKV2_AWS_5,high,P2,67.25,AST-TERRAFORM,Cloud Security,Cloud Security,2027-01-12,SUP-CHECKOV-SG-MODULE-GRAPH-001,active,,,,,
FND-SUPPRESSIO-ef559061de8d,SUP-TRIVY-PERL-BASE-CRITICAL-001,trivy,Container,Suppression Governance,Suppressed trivy finding CVE-2026-42496,high,P3,56.25,AST-CONTAINER,Platform Engineering,Platform Engineering,2026-10-12,SUP-TRIVY-PERL-BASE-CRITICAL-001,active,CVE-2026-42496,,,perl-base,
FND-SUPPRESSIO-f1fb6d611749,SUP-CHECKOV-ALB-BACKEND-HTTP-001,checkov,IaC,Suppression Governance,Suppressed checkov finding CKV_AWS_378,high,P2,67.25,AST-TERRAFORM,Cloud Security,Cloud Security,2027-01-12,SUP-CHECKOV-ALB-BACKEND-HTTP-001,active,,,,,
