contract_version,export_record_id,finding_id,source_finding_ids,source_tools,finding_type,security_domain,title,description,normalised_severity,risk_score,priority,status,producer_status,consumer_status,lifecycle_status,asset_id,asset_type,asset_criticality,data_sensitivity,internet_exposure,environment,application,service,repository,component,resource,file,line,package_name,installed_version,fixed_version,cve,cwe,owasp_category,cloud_provider,region,threat_ids,security_requirement_ids,control_ids,squad,technical_owner,risk_owner,remediation_owner,first_detected,last_detected,due_date,overdue,remediation_sla_days,suppression_id,suppression_status,exception_id,exception_status,exception_expiry,verification_status,release_decision,release_impact,required_actions,required_approvals,remediation_guidance,source_evidence,source_record_hash,lineage_references,producer_metadata
1.0,EXP-0DAA161DF369,FND-CONTAINER-026cbd40a3d8,FND-CONTAINER-026cbd40a3d8,trivy,Container,Container,perl-base CVE-2026-9538,"Archive::Tar versions before 3.10 for Perl allow memory exhaustion via attacker controlled entry size field in tar header.

_read_tar() reads each entry's payload with $handle->read($$data, $block), where $block is derived from the entry's 12-byte size field in the tar header with no upper bound on that value.

A crafted header declaring a multi-gigabyte size causes Perl to allocate a scalar of that size.",high,56.25,P3,risk_accepted,risk_accepted,risk_accepted,risk_accepted,AST-CONTAINER,container_image,high,medium,not_deployed,not_deployed,genomic-research-access-api,,devsecops-application-security-pipeline,devsecops-application-security-pipeline:milestone5 (debian 13.6),,,,perl-base,5.40.1-6,,CVE-2026-9538,,,,,THR-SUPPLY-001,SR-CONTAINER-001,,Platform Engineering,Platform Engineering,Risk Owner,Platform Engineering,2026-01-01,2026-01-01,2026-01-15,False,14,,,EXC-b94c077fed02,active,2026-01-20,not_verified,conditional_pass,conditional_pass,Track upstream fix availability and rebuild the image when a fix is published.,Product Security;Technical Owner,Rebuild on an updated base image or apply a compensating control when no fix exists.,outputs/security/appsec/raw/trivy.json,645d5a23522565a31c372ecba40f38143da73f7524a37babe5e2721ebbb98721,outputs/security/integration/finding-source-lineage.json;outputs/security/findings/finding-source-map.json,"{""contract_name"":""product-security-control-plane-export"",""deployment_status"":""not_deployed"",""producer"":""devsecops-application-security-pipeline"",""producer_repository"":""devsecops-application-security-pipeline"",""producer_schema_version"":""1.0""}"
1.0,EXP-BFB6E8BF1D59,FND-CONTAINER-033201244a2b,FND-CONTAINER-033201244a2b,trivy,Container,Container,bsdutils CVE-2026-53615,"Package updates are available for Amazon Linux 2023 that fix the following vulnerabilities:
CVE-2026-53615:
	Integer Overflow or Wraparound in libblkid/src/partitions/dos.c
",high,56.25,P3,triaged,triaged,triaged,triaged,AST-CONTAINER,container_image,high,medium,not_deployed,not_deployed,genomic-research-access-api,,devsecops-application-security-pipeline,devsecops-application-security-pipeline:milestone5 (debian 13.6),,,,bsdutils,1:2.41-5,,CVE-2026-53615,,,,,THR-SUPPLY-001,SR-CONTAINER-001,,Platform Engineering,Platform Engineering,Risk Owner,Platform Engineering,2026-01-01,2026-01-01,2026-01-15,False,14,,,,,,not_verified,conditional_pass,conditional_pass,Track upstream fix availability and rebuild the image when a fix is published.,Product Security;Technical Owner,Rebuild on an updated base image or apply a compensating control when no fix exists.,outputs/security/appsec/raw/trivy.json,c71bf688d215324d8b37ff0ff94cf20a7fca5f5e3b35c51da51e57a617879d6a,outputs/security/integration/finding-source-lineage.json;outputs/security/findings/finding-source-map.json,"{""contract_name"":""product-security-control-plane-export"",""deployment_status"":""not_deployed"",""producer"":""devsecops-application-security-pipeline"",""producer_repository"":""devsecops-application-security-pipeline"",""producer_schema_version"":""1.0""}"
1.0,EXP-CCA138759A8B,FND-CONTAINER-35a70101ee98,FND-CONTAINER-35a70101ee98,trivy,Container,Container,libblkid1 CVE-2026-53615,"Package updates are available for Amazon Linux 2023 that fix the following vulnerabilities:
CVE-2026-53615:
	Integer Overflow or Wraparound in libblkid/src/partitions/dos.c
",high,56.25,P3,triaged,triaged,triaged,triaged,AST-CONTAINER,container_image,high,medium,not_deployed,not_deployed,genomic-research-access-api,,devsecops-application-security-pipeline,devsecops-application-security-pipeline:milestone5 (debian 13.6),,,,libblkid1,2.41-5,,CVE-2026-53615,,,,,THR-SUPPLY-001,SR-CONTAINER-001,,Platform Engineering,Platform Engineering,Risk Owner,Platform Engineering,2026-01-01,2026-01-01,2026-01-15,False,14,,,,,,not_verified,conditional_pass,conditional_pass,Track upstream fix availability and rebuild the image when a fix is published.,Product Security;Technical Owner,Rebuild on an updated base image or apply a compensating control when no fix exists.,outputs/security/appsec/raw/trivy.json,b8bf848b2d1631bbe3176d9a1e1c8f4f9bc89d94f24f488aa52e4f0a585be8bd,outputs/security/integration/finding-source-lineage.json;outputs/security/findings/finding-source-map.json,"{""contract_name"":""product-security-control-plane-export"",""deployment_status"":""not_deployed"",""producer"":""devsecops-application-security-pipeline"",""producer_repository"":""devsecops-application-security-pipeline"",""producer_schema_version"":""1.0""}"
1.0,EXP-E5078D61EA75,FND-CONTAINER-35a7a61eb9e3,FND-CONTAINER-35a7a61eb9e3,trivy,Container,Container,libmount1 CVE-2026-53615,"Package updates are available for Amazon Linux 2023 that fix the following vulnerabilities:
CVE-2026-53615:
	Integer Overflow or Wraparound in libblkid/src/partitions/dos.c
",high,56.25,P3,triaged,triaged,triaged,triaged,AST-CONTAINER,container_image,high,medium,not_deployed,not_deployed,genomic-research-access-api,,devsecops-application-security-pipeline,devsecops-application-security-pipeline:milestone5 (debian 13.6),,,,libmount1,2.41-5,,CVE-2026-53615,,,,,THR-SUPPLY-001,SR-CONTAINER-001,,Platform Engineering,Platform Engineering,Risk Owner,Platform Engineering,2026-01-01,2026-01-01,2026-01-15,False,14,,,,,,not_verified,conditional_pass,conditional_pass,Track upstream fix availability and rebuild the image when a fix is published.,Product Security;Technical Owner,Rebuild on an updated base image or apply a compensating control when no fix exists.,outputs/security/appsec/raw/trivy.json,6cdc5d372d0bfa9fb74d1f170837019b4ccda08cba704eeb047ebe015ad85c70,outputs/security/integration/finding-source-lineage.json;outputs/security/findings/finding-source-map.json,"{""contract_name"":""product-security-control-plane-export"",""deployment_status"":""not_deployed"",""producer"":""devsecops-application-security-pipeline"",""producer_repository"":""devsecops-application-security-pipeline"",""producer_schema_version"":""1.0""}"
1.0,EXP-172E0B920741,FND-CONTAINER-3686ad447a1f,FND-CONTAINER-3686ad447a1f,trivy,Container,Container,perl-base CVE-2026-42497,"Archive::Tar versions before 3.08 for Perl extract hardlinks to attacker controlled paths outside the extraction directory.

_make_special_file() passes the tar header's linkname to link() without validating it against absolute paths or .. segments, creating a hardlink that shares the victim file's inode.

A subsequent write through the extracted name modifies the victim file, and the post-extraction chmod, chown, and utime block in _extract_file() (guarded only against symlinks via -l) applies the tar header's mode, owner, and timestamps to the shared inode during extraction alone.",high,56.25,P3,triaged,triaged,triaged,triaged,AST-CONTAINER,container_image,high,medium,not_deployed,not_deployed,genomic-research-access-api,,devsecops-application-security-pipeline,devsecops-application-security-pipeline:milestone5 (debian 13.6),,,,perl-base,5.40.1-6,,CVE-2026-42497,,,,,THR-SUPPLY-001,SR-CONTAINER-001,,Platform Engineering,Platform Engineering,Risk Owner,Platform Engineering,2026-01-01,2026-01-01,2026-01-15,False,14,,,,,,not_verified,conditional_pass,conditional_pass,Track upstream fix availability and rebuild the image when a fix is published.,Product Security;Technical Owner,Rebuild on an updated base image or apply a compensating control when no fix exists.,outputs/security/appsec/raw/trivy.json,3a21476df38ed1ff11405b26cfed89e2555d1c84d97ebb56254e81d91f94d4b6,outputs/security/integration/finding-source-lineage.json;outputs/security/findings/finding-source-map.json,"{""contract_name"":""product-security-control-plane-export"",""deployment_status"":""not_deployed"",""producer"":""devsecops-application-security-pipeline"",""producer_repository"":""devsecops-application-security-pipeline"",""producer_schema_version"":""1.0""}"
1.0,EXP-9B2BC3708B36,FND-CONTAINER-4a39d4c85743,FND-CONTAINER-4a39d4c85743,trivy,Container,Container,perl-base CVE-2026-48962,"IO::Compress versions before 2.220 for Perl can execute arbitrary code in File::GlobMapper via an attacker-controlled output glob.

_parseOutputGlob() wraps the caller-supplied output glob string in double quotes and stores it in the parser state; _getFiles() then runs the stored expression through eval STRING. A literal double quote in the output glob closes the dquote wrapper, and the characters that follow are evaluated as Perl.

Arbitrary Perl in the output glob executes at the calling process's privilege.",high,56.25,P3,triaged,triaged,triaged,triaged,AST-CONTAINER,container_image,high,medium,not_deployed,not_deployed,genomic-research-access-api,,devsecops-application-security-pipeline,devsecops-application-security-pipeline:milestone5 (debian 13.6),,,,perl-base,5.40.1-6,,CVE-2026-48962,,,,,THR-SUPPLY-001,SR-CONTAINER-001,,Platform Engineering,Platform Engineering,Risk Owner,Platform Engineering,2026-01-01,2026-01-01,2026-01-15,False,14,,,,,,not_verified,conditional_pass,conditional_pass,Track upstream fix availability and rebuild the image when a fix is published.,Product Security;Technical Owner,Rebuild on an updated base image or apply a compensating control when no fix exists.,outputs/security/appsec/raw/trivy.json,8291982f4ea5fd923f8ac18a907866ffe94425629245212e64e76ae84496610d,outputs/security/integration/finding-source-lineage.json;outputs/security/findings/finding-source-map.json,"{""contract_name"":""product-security-control-plane-export"",""deployment_status"":""not_deployed"",""producer"":""devsecops-application-security-pipeline"",""producer_repository"":""devsecops-application-security-pipeline"",""producer_schema_version"":""1.0""}"
1.0,EXP-E35CE011A337,FND-CONTAINER-57b96cf12bee,FND-CONTAINER-57b96cf12bee,trivy,Container,Container,libtinfo6 CVE-2025-69720,The infocmp command-line tool in ncurses before 6.5-20251213 has a stack-based buffer overflow in analyze_string in progs/infocmp.c.,high,56.25,P3,triaged,triaged,triaged,triaged,AST-CONTAINER,container_image,high,medium,not_deployed,not_deployed,genomic-research-access-api,,devsecops-application-security-pipeline,devsecops-application-security-pipeline:milestone5 (debian 13.6),,,,libtinfo6,6.5+20250216-2,,CVE-2025-69720,,,,,THR-SUPPLY-001,SR-CONTAINER-001,,Platform Engineering,Platform Engineering,Risk Owner,Platform Engineering,2026-01-01,2026-01-01,2026-01-15,False,14,,,,,,not_verified,conditional_pass,conditional_pass,Track upstream fix availability and rebuild the image when a fix is published.,Product Security;Technical Owner,Rebuild on an updated base image or apply a compensating control when no fix exists.,outputs/security/appsec/raw/trivy.json,3ac229e8856dc181256033ec8d9bb4dded74fc4cc2b8245e68e234e9a5bfd57c,outputs/security/integration/finding-source-lineage.json;outputs/security/findings/finding-source-map.json,"{""contract_name"":""product-security-control-plane-export"",""deployment_status"":""not_deployed"",""producer"":""devsecops-application-security-pipeline"",""producer_repository"":""devsecops-application-security-pipeline"",""producer_schema_version"":""1.0""}"
1.0,EXP-A8B16054EBB1,FND-CONTAINER-5ee1761422cc,FND-CONTAINER-5ee1761422cc;FND-SUPPRESSIO-ef559061de8d,trivy,Container,Container,perl-base CVE-2026-42496,"Archive::Tar versions before 3.08 for Perl extract symlinks with attacker controlled targets outside the extraction directory.

_make_special_file() passes the tar header's linkname to symlink() without validating it against absolute paths or .. segments. The secure-extract mode check that guards regular file extraction does not cover the symlink target.

A subsequent open through the extracted name reads or writes the attacker chosen path.",critical,62.25,P2,triaged,triaged,triaged,triaged,AST-CONTAINER,container_image,high,medium,not_deployed,not_deployed,genomic-research-access-api,,devsecops-application-security-pipeline,devsecops-application-security-pipeline:milestone5 (debian 13.6),,,,perl-base,5.40.1-6,,CVE-2026-42496,,,,,THR-SUPPLY-001,SR-CONTAINER-001,,Platform Engineering,Platform Engineering,Risk Owner,Platform Engineering,2026-01-01,2026-01-01,2026-01-04,False,3,,,,,,not_verified,conditional_pass,conditional_pass,Track upstream fix availability and rebuild the image when a fix is published.,Product Security;Technical Owner,Rebuild on an updated base image or apply a compensating control when no fix exists.,outputs/security/appsec/raw/trivy.json,6454878eb50cf52ca8af12586ee58c1abb95c63d597ed3059692c6b37890e437,outputs/security/integration/finding-source-lineage.json;outputs/security/findings/finding-source-map.json,"{""contract_name"":""product-security-control-plane-export"",""deployment_status"":""not_deployed"",""producer"":""devsecops-application-security-pipeline"",""producer_repository"":""devsecops-application-security-pipeline"",""producer_schema_version"":""1.0""}"
1.0,EXP-6CA3E48D9DAE,FND-CONTAINER-6017bcc173f8,FND-CONTAINER-6017bcc173f8,trivy,Container,Container,libacl1 CVE-2026-54369,"acl before version 2.4.0 contains a symlink traversal vulnerability in the libacl pathname-based functions acl_get_file(), acl_set_file(), acl_extended_file(), and acl_delete_def_file() that allows local attackers to escalate privileges by replacing any pathname component with a symbolic link. Attackers who control any component of a pathname processed by a privileged caller can redirect ACL read or write operations to arbitrary files or directories, enabling unauthorized manipulation of access control lists and local privilege escalation.",high,56.25,P3,triaged,triaged,triaged,triaged,AST-CONTAINER,container_image,high,medium,not_deployed,not_deployed,genomic-research-access-api,,devsecops-application-security-pipeline,devsecops-application-security-pipeline:milestone5 (debian 13.6),,,,libacl1,2.3.2-2+b1,,CVE-2026-54369,,,,,THR-SUPPLY-001,SR-CONTAINER-001,,Platform Engineering,Platform Engineering,Risk Owner,Platform Engineering,2026-01-01,2026-01-01,2026-01-15,False,14,,,,,,not_verified,conditional_pass,conditional_pass,Track upstream fix availability and rebuild the image when a fix is published.,Product Security;Technical Owner,Rebuild on an updated base image or apply a compensating control when no fix exists.,outputs/security/appsec/raw/trivy.json,986cca029a8ebb5c96044019e67a937e7021718734b9466e23f99d6e97575d9a,outputs/security/integration/finding-source-lineage.json;outputs/security/findings/finding-source-map.json,"{""contract_name"":""product-security-control-plane-export"",""deployment_status"":""not_deployed"",""producer"":""devsecops-application-security-pipeline"",""producer_repository"":""devsecops-application-security-pipeline"",""producer_schema_version"":""1.0""}"
1.0,EXP-4A54446E174D,FND-CONTAINER-6884a6a2aeb3,FND-CONTAINER-6884a6a2aeb3,trivy,Container,Container,libncursesw6 CVE-2025-69720,The infocmp command-line tool in ncurses before 6.5-20251213 has a stack-based buffer overflow in analyze_string in progs/infocmp.c.,high,56.25,P3,triaged,triaged,triaged,triaged,AST-CONTAINER,container_image,high,medium,not_deployed,not_deployed,genomic-research-access-api,,devsecops-application-security-pipeline,devsecops-application-security-pipeline:milestone5 (debian 13.6),,,,libncursesw6,6.5+20250216-2,,CVE-2025-69720,,,,,THR-SUPPLY-001,SR-CONTAINER-001,,Platform Engineering,Platform Engineering,Risk Owner,Platform Engineering,2026-01-01,2026-01-01,2026-01-15,False,14,,,,,,not_verified,conditional_pass,conditional_pass,Track upstream fix availability and rebuild the image when a fix is published.,Product Security;Technical Owner,Rebuild on an updated base image or apply a compensating control when no fix exists.,outputs/security/appsec/raw/trivy.json,2845f44808a87dafc686cabe04e833369688e5baa00ef7990996345693ad9248,outputs/security/integration/finding-source-lineage.json;outputs/security/findings/finding-source-map.json,"{""contract_name"":""product-security-control-plane-export"",""deployment_status"":""not_deployed"",""producer"":""devsecops-application-security-pipeline"",""producer_repository"":""devsecops-application-security-pipeline"",""producer_schema_version"":""1.0""}"
